symbol,lasttradedateorcontractmonth,end_date,days,minbar
N225,20210311,20210311,53,1 min
N225,20210610,20210610,83,1 min
N225,20210909,20210726,32,1 min
symbol,lasttradedateorcontractmonth,end_date,days,minbar
N225,20210311,20210311,53,1 min
N225,20210610,20210610,83,1 min
N225,20210909,20210726,32,1 min
symbol,lasttradedateorcontractmonth,end_date,days,minbar
N225,20210311 00:00:00,20210311,40,1 min
N225,20210610 00:00:00,20210610 00:00:00,83,1 min
N225,20210909 00:00:00,20210726,137,1 min
symbol,lasttradedateorcontractmonth,end_date,days,minbar
N225,20210311 00:00:00,20210311,40,1 min
N225,20210610 00:00:00,20210610 00:00:00,83,1 min
N225,20210909 00:00:00,20210726,137,1 min
