FutureContracts,,,,,,,,
S.No#,future contracts,,symbol,sectype,currency,exchange,multiplier,expiry
1,Nikkei Future,,,,,,,
2,Topix Futures,,,,,,,
3,ESc1,,,,,,,
4,JGB,,,,,,,
5,AULC1,,,,,,,
6,TNC1,,,,,,,
7,"IBKNS,T",,,,,,,
8,US10YT=X,,,,,,,
9,US10YRT,,,,,,,
10,MQNC1,,,,,,,
11,USTEC,,,,,,,
12,DE30,,,,,,,
13,VIX,,,,,,,
14,VX,,,,,,,
15,USDJPY,,,,,,,
16,EUROJPY ,,,,,,,
17,EURO USD,,,,,,,
18,BTC-USD,,,,,,,
19,BTC,,,,,,,
